Alpha, V, dE, Xu, Xw, Zu, Zw, Zq, Mu, Mw, Mq, Yv, Yp, Yr, Lv, Lp, Lr, Nv, Np, Nr, Xde, Yde, Zde, Lde, Mde, Nde, CXu, CXa, CZu, CLa, CLq, Cmu, Cma, Cmq, CYb, CYp, CYr, Clb, Clp, Clr, Cnb, Cnp, Cnr, CXde, CYde, CZde, Clde, Cmde, Cnde, 
13.3985, 13.90369, -11.50, -2.0472, 9.6947, -21.903, -49.343, -28.928, 0.014428, -12.92, -19.76, -4.7015, 1.5852, 6.0637, -0.78573, -18.994, 13.408, 5.1965, -9.3079, -6.6626, 84.56, -4.8879e-10, -231.77, 9.1801e-10, -216.79, 2.4066e-08, -0.24039, 1.1384, 0.079339, 5.7941, 19.439, 0.0048474, -4.341, -37.991, -0.55207, 0.12409, 0.47469, -0.030755, -0.49563, 0.34987, 0.2034, -0.24289, -0.17386, 0.71416, -4.1281e-12, -1.9575, 2.5844e-12, -5.2388, 6.7752e-11, 
13.3516, 13.93260, -11.00, -0.8867, 2.5652, -22.125, -50.033, -29.119, 0.014321, -14.871, -22.835, -6.8409, 1.164, 8.1487, -1.0108, -18.986, 13.66, 7.2067, -9.038, -8.617, -79.054, 3.1259e-10, -235.73, -7.2332e-10, -255.04, 4.6869e-08, -0.10391, 0.3006, 0.047576, 5.8629, 19.526, 0.0048016, -4.986, -43.812, -0.80163, 0.090931, 0.63659, -0.039483, -0.4944, 0.35571, 0.2815, -0.23535, -0.22439, -0.66489, 2.6291e-12, -1.9827, -2.0279e-12, -6.1376, 1.314e-10, 
11.9975, 14.48302, -10.50, -0.79261, 2.4464, -21.25, -49.907, -26.142, 0.012857, -12.859, -19.598, -5.8299, 1.1755, 7.2317, -0.78717, -19.777, 12.959, 6.5237, -8.3064, -8.0464, -78.913, 7.2512e-12, -203.93, 8.4495e-10, -223.58, -7.2854e-08, -0.08935, 0.27578, 0.047919, 5.6259, 16.864, 0.0041469, -4.1477, -36.173, -0.6572, 0.08834, 0.54348, -0.029579, -0.49544, 0.32464, 0.24514, -0.20808, -0.20157, -0.61422, 5.644e-14, -1.5873, 2.1922e-12, -4.9793, -1.8902e-10, 
11.4881, 14.71030, -10.00, -1.1706, 5.0059, -20.819, -51.526, -27.965, 0.011975, -13.322, -20.396, -5.9527, 1.2467, 7.4447, -0.89698, -20.154, 12.892, 6.6828, -8.288, -8.3161, -21.66, 3.103e-10, -227.67, 4.3689e-10, -236.19, -1.2832e-08, -0.12992, 0.55559, 0.057855, 5.7187, 17.761, 0.0038029, -4.2304, -37.065, -0.66068, 0.092243, 0.55084, -0.033185, -0.49706, 0.31796, 0.24724, -0.20441, -0.20511, -0.16342, 2.3411e-12, -1.7177, 1.0988e-12, -5.0987, -3.2271e-11, 
13.8850, 13.67259, -9.50, -50.695, 1689.9, -10.249, -465.36, -771.33, 0.014091, -34.373, -56.8, -1.2833, 12.226, 4.6166, -2.5087, -22.788, 14.645, -0.1588, -23.993, -3.6347, 31158, 1.7986e-07, -8262, -7.4483e-08, -622.05, -1.2229e-07, -6.0536, 201.79, 1.5179, 55.569, 527.06, 0.0048143, -11.744, -111.05, -0.15324, 0.97327, 0.36751, -0.099855, -0.60469, 0.3886, -0.0063207, -0.63666, -0.09645, 272.12, 1.5708e-09, -72.157, -2.1684e-10, -15.544, -3.5601e-10, 
9.8213, 15.57175, -9.00, -2.1418, 23.069, -19.445, -56.794, -32.414, 0.009533, -12.578, -19.105, -8.5764, 0.7071, 10.326, -0.4703, -21.362, 11.833, 10.191, -7.2087, -12.192, 346.39, -3.2714e-10, -291.09, 1.606e-11, -232.13, 1.4883e-07, -0.22456, 2.4187, 0.07491, 5.9547, 19.448, 0.0028598, -3.7732, -32.797, -0.89921, 0.049425, 0.72175, -0.016437, -0.49772, 0.27569, 0.35618, -0.16796, -0.28406, 2.3323, -2.2027e-12, -1.9599, 3.6045e-14, -4.4719, 3.3403e-10, 
9.3163, 15.86525, -8.50, -1.4552, 15.734, -19.196, -56.861, -31.043, 0.0086266, -13.094, -19.959, -8.3186, 0.67763, 10.088, -0.73061, -21.806, 11.937, 9.7917, -7.0667, -11.806, 196.6, 3.283e-11, -277.61, -1.0894e-09, -247.25, 1.599e-07, -0.14975, 1.6191, 0.060781, 5.8514, 18.281, 0.00254, -3.8555, -33.63, -0.85604, 0.046489, 0.6921, -0.025062, -0.49868, 0.27297, 0.33588, -0.1616, -0.26999, 1.2752, 2.1295e-13, -1.8007, -2.3555e-12, -4.5887, 3.4571e-10, 
9.0008, 16.05136, -8.00, -0.75162, 4.4183, -19.083, -56.596, -29.79, 0.0080353, -14.261, -21.925, -6.5334, 0.75845, 8.127, -1.3404, -22.113, 12.509, 7.3261, -7.0754, -9.074, -47.939, 4.9465e-10, -262.38, -6.3807e-10, -275.71, -4.2056e-08, -0.076451, 0.44941, 0.048246, 5.7566, 17.339, 0.0023385, -4.1504, -36.513, -0.66454, 0.05143, 0.55109, -0.045447, -0.49982, 0.28274, 0.24839, -0.15993, -0.2051, -0.30378, 3.1345e-12, -1.6626, -1.3478e-12, -4.9989, -8.8833e-11, 
8.3920, 16.44690, -7.50, -0.67885, 4.8266, -18.627, -58.166, -30.541, 0.0069223, -14.549, -22.425, -7.1063, 0.75954, 8.8471, -1.3639, -22.722, 12.299, 8.0937, -6.9425, -10.033, -40.915, 7.8624e-12, -275.67, -1.0193e-10, -288.42, 9.2325e-08, -0.067388, 0.47913, 0.045631, 5.774, 17.349, 0.0019661, -4.1325, -36.448, -0.70543, 0.050265, 0.58549, -0.045131, -0.50124, 0.27131, 0.26781, -0.15315, -0.22133, -0.24695, 4.7455e-14, -1.6639, -2.0506e-13, -4.9808, 1.8575e-10, 
7.8718, 16.81165, -7.00, -0.81926, 5.3139, -18.2, -59.969, -31.978, 0.0059305, -15.188, -23.488, -6.8247, 0.84752, 8.601, -1.6044, -23.294, 12.364, 7.6116, -6.9415, -9.5781, -14.674, -1.3221e-11, -299.11, 1.5371e-09, -309.14, 1.6395e-08, -0.079562, 0.51606, 0.045952, 5.8238, 17.771, 0.0016479, -4.2203, -37.348, -0.66278, 0.054871, 0.55685, -0.051937, -0.5027, 0.26684, 0.2464, -0.1498, -0.20671, -0.084764, -7.6375e-14, -1.7278, 2.9598e-12, -5.1096, 3.1568e-11, 
